"Source:","/home/masta/Desktop/projects/a500_power/a500_pwr/a500_pwr.sch"
"Date:","Sa 02 Mai 2020 11:50:38 CEST"
"Tool:","Eeschema 5.1.5"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","20"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","Herstellernr.","MPN","Manufacturer","Status"
"","","C1","10u 25V","Device:C_Small","Capacitors_SMD:C_1206_HandSoldering","","","","","","","","","","",""
"","","C2","100n 50V","Device:C_Small","Capacitors_SMD:C_0805_HandSoldering","","","","","","","","C2012X7R2A104K125AA","","",""
"","","C3","10u","Device:C_Small","Capacitors_SMD:C_1206_HandSoldering","","","","","","","","CGA5L1X7R1V106K160AC","","",""
"","","C4","10u","Device:C_Small","Capacitors_SMD:C_1206_HandSoldering","","","","","","","","CGA5L1X7R1V106K160AC","","",""
"","","C5","10u 25V","Device:C_Small","Capacitors_SMD:C_1206_HandSoldering","","","","","","","","","","",""
"","","C6","22u","Device:C_Small","Capacitors_SMD:C_1206_HandSoldering","","","","","","","","C3216X5R1V226M160AC","","",""
"","","C7","330u","Device:C","Capacitors_THT:CP_Radial_D8.0mm_P3.50mm","","","","","","","","","","",""
"","","D1","700mV","Device:D_Schottky_Small","Diodes_SMD:D_SMA_Handsoldering","","","","/product-detail/de/diodes-incorporated/B360A-13-F/B360A-FDICT-ND/724980","DIODE SCHOTTKY 60V 3A SMA","","","B360A-13-F","","Diodes Incorporated",""
"","","J1","PJ-102A","barreljack:PJ-102A","a500_pwr:Barrel_Jack_5.5mmODx2.1mmID_PJ-102A","https://www.cui.com/product/resource/digikeypdf/pj-102a.pdf","Connectors, Interconnects","https://www.cui.com/product/resource/digikeypdf/pj-102a.pdf","/product-detail/en/cui-inc/PJ-102A/CP-102A-ND/275425","CONN PWR JACK 2X5.5MM SOLDER","CP-102A-ND","Barrel - Power Connectors","","PJ-102A","CUI Inc.","Active"
"","","J2","APWR_big","connect:Conn_01x04","a500_pwr:APWR_big","","","","","","","","","","",""
"","","J3","APWR_small","connect:Conn_01x03","a500_pwr:APWR_small","","Connectors, Headers","","","3 pin header 2.54mm","","","","","",""
"","","L1","742792510","Device:Ferrite_Bead_Small","Capacitors_SMD:C_1812_HandSoldering","https://www.mouser.de/datasheet/2/445/742792510-1720733.pdf","","","product-detail/de/würth-elektronik/742792510/732-1640-1-ND/1639584","FERRITE BEAD 70 OHM 1812 1LN","732-1640-1-ND","","742792510","","Würth",""
"","","L2","7427932","Device:Ferrite_Bead_Small","a500_pwr:fb_5v","https://www.mouser.de/datasheet/2/445/7427932-1720978.pdf","","","/product-detail/de/würth-elektronik/7427932/732-2394-1-ND/2268596","FERRITE BEAD 98 OHM 2SMD 1LN","732-2394-1-ND","","7427932","","Würth",""
"","","R1","280k 1%","Device:R_Small","Capacitors_SMD:C_0603_HandSoldering","https://www.mouser.de/datasheet/2/427/dcrcwe3-45987.pdf","","","","","","","CRCW0603280KFKEA","","",""
"","","R2","25.5k","Device:R_Small","Capacitors_SMD:C_0603_HandSoldering","https://www.mouser.de/datasheet/2/427/dcrcwe3-45987.pdf","","","","","","","CRCW060325K5FKEA","","",""
"","","R3","Rdown","Device:R_Small","Capacitors_SMD:C_0603_HandSoldering","","","","","optional 5V adjust","","","","","",""
"","","R4","Rup","Device:R_Small","Capacitors_SMD:C_0603_HandSoldering","","","","","optional 5V adjust","","","","","",""
"","","SW1","RMS1R102M7QES","a500_pwr:PWR_SW","a500_pwr:rock_sw","https://www.mouser.de/datasheet/2/418/NG_CD_2267087_A_2267087_c.dwg-680380.pdf","","","/products/de?keywords=RMS1R102M7QES","SWITCH ROCKER SPDT 3A 120V","450-2074-ND","","RMS1R102M7QES","","",""
"","","U1","LMZM23600SILT","a500_pwr:LMZM23601SILR","a500_pwr:SIL0010A","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fds%2Fsymlink%2Flmzm23600.pdf","","","/product-detail/de/texas-instruments/LMZM23600SILT/296-49457-1-ND/9371296","DC DC CONVERTER 2.5-15V","296-49457-1-ND","","LMZM23600SILT","","Texas Instruments",""
"","","U2","RPM5.0-6.0","a500_pwr:RPM5.0-6.0","a500_pwr:RPM5.0-6.0","https://www.mouser.de/datasheet/2/468/RPM-6.0-1398219.pdf","","","/product-detail/de/recom-power/RPM5-0-6-0/945-3256-1-ND/9644705","6A DC/DC-CONVERTER 'INNOLINE' SM","945-3256-1-ND","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","Herstellernr.","MPN","Manufacturer","Status"
"1","2","C1, C5","10u 25V","Device:C_Small","Capacitors_SMD:C_1206_HandSoldering","","","","","","","","","","",""
"2","1","C2","100n 50V","Device:C_Small","Capacitors_SMD:C_0805_HandSoldering","","","","","","","","C2012X7R2A104K125AA","","",""
"3","2","C3, C4","10u","Device:C_Small","Capacitors_SMD:C_1206_HandSoldering","","","","","","","","CGA5L1X7R1V106K160AC","","",""
"4","1","C6","22u","Device:C_Small","Capacitors_SMD:C_1206_HandSoldering","","","","","","","","C3216X5R1V226M160AC","","",""
"5","1","C7","330u","Device:C","Capacitors_THT:CP_Radial_D8.0mm_P3.50mm","","","","","","","","","","",""
"6","1","D1","700mV","Device:D_Schottky_Small","Diodes_SMD:D_SMA_Handsoldering","","","","/product-detail/de/diodes-incorporated/B360A-13-F/B360A-FDICT-ND/724980","DIODE SCHOTTKY 60V 3A SMA","","","B360A-13-F","","Diodes Incorporated",""
"7","1","J1","PJ-102A","barreljack:PJ-102A","a500_pwr:Barrel_Jack_5.5mmODx2.1mmID_PJ-102A","https://www.cui.com/product/resource/digikeypdf/pj-102a.pdf","Connectors, Interconnects","https://www.cui.com/product/resource/digikeypdf/pj-102a.pdf","/product-detail/en/cui-inc/PJ-102A/CP-102A-ND/275425","CONN PWR JACK 2X5.5MM SOLDER","CP-102A-ND","Barrel - Power Connectors","","PJ-102A","CUI Inc.","Active"
"8","1","J2","APWR_big","connect:Conn_01x04","a500_pwr:APWR_big","","","","","","","","","","",""
"9","1","J3","APWR_small","connect:Conn_01x03","a500_pwr:APWR_small","","Connectors, Headers","","","3 pin header 2.54mm","","","","","",""
"10","1","L1","742792510","Device:Ferrite_Bead_Small","Capacitors_SMD:C_1812_HandSoldering","https://www.mouser.de/datasheet/2/445/742792510-1720733.pdf","","","product-detail/de/würth-elektronik/742792510/732-1640-1-ND/1639584","FERRITE BEAD 70 OHM 1812 1LN","732-1640-1-ND","","742792510","","Würth",""
"11","1","L2","7427932","Device:Ferrite_Bead_Small","a500_pwr:fb_5v","https://www.mouser.de/datasheet/2/445/7427932-1720978.pdf","","","/product-detail/de/würth-elektronik/7427932/732-2394-1-ND/2268596","FERRITE BEAD 98 OHM 2SMD 1LN","732-2394-1-ND","","7427932","","Würth",""
"12","1","R1","280k 1%","Device:R_Small","Capacitors_SMD:C_0603_HandSoldering","https://www.mouser.de/datasheet/2/427/dcrcwe3-45987.pdf","","","","","","","CRCW0603280KFKEA","","",""
"13","1","R2","25.5k","Device:R_Small","Capacitors_SMD:C_0603_HandSoldering","https://www.mouser.de/datasheet/2/427/dcrcwe3-45987.pdf","","","","","","","CRCW060325K5FKEA","","",""
"14","1","R3","Rdown","Device:R_Small","Capacitors_SMD:C_0603_HandSoldering","","","","","optional 5V adjust","","","","","",""
"15","1","R4","Rup","Device:R_Small","Capacitors_SMD:C_0603_HandSoldering","","","","","optional 5V adjust","","","","","",""
"16","1","SW1","RMS1R102M7QES","a500_pwr:PWR_SW","a500_pwr:rock_sw","https://www.mouser.de/datasheet/2/418/NG_CD_2267087_A_2267087_c.dwg-680380.pdf","","","/products/de?keywords=RMS1R102M7QES","SWITCH ROCKER SPDT 3A 120V","450-2074-ND","","RMS1R102M7QES","","",""
"17","1","U1","LMZM23600SILT","a500_pwr:LMZM23601SILR","a500_pwr:SIL0010A","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fds%2Fsymlink%2Flmzm23600.pdf","","","/product-detail/de/texas-instruments/LMZM23600SILT/296-49457-1-ND/9371296","DC DC CONVERTER 2.5-15V","296-49457-1-ND","","LMZM23600SILT","","Texas Instruments",""
"18","1","U2","RPM5.0-6.0","a500_pwr:RPM5.0-6.0","a500_pwr:RPM5.0-6.0","https://www.mouser.de/datasheet/2/468/RPM-6.0-1398219.pdf","","","/product-detail/de/recom-power/RPM5-0-6-0/945-3256-1-ND/9644705","6A DC/DC-CONVERTER 'INNOLINE' SM","945-3256-1-ND","","","","",""
